Country Name,Country Code,2022,2022_predicted,2022_confidence
Aruba,ABW,4.6283998823165895,4.6283998823165895,0.6200755012940699
Africa Eastern and Southern,AFE,4.628623962402345,4.628623962402345,1.0
Africa Western and Central,AFW,2.90529441833496,2.90529441833496,1.0
Angola,AGO,2.3321259021759,2.3321259021759,1.0
Albania,ALB,2.74432992935181,2.74432992935181,1.0
Andorra,AND,2.64728999137878,2.64728999137878,1.0
United Arab Emirates,ARE,3.7946923351287842,3.7946923351287842,0.8828495426070583
Argentina,ARG,4.80521011352539,4.80521011352539,1.0
Armenia,ARM,2.4918999671936,2.4918999671936,1.0
Antigua and Barbuda,ATG,3.6477484703064,3.6477484703064,1.0
Australia,AUS,5.20677661895752,5.20677661895752,1.0
Austria,AUT,4.77447128295898,4.77447128295898,1.0
Azerbaijan,AZE,3.04690003395081,3.04690003395081,1.0
Burundi,BDI,4.82104730606079,4.82104730606079,1.0
Belgium,BEL,6.165025768280029,6.165025768280029,0.674324454756717
Benin,BEN,3.37785911560059,3.37785911560059,1.0
Burkina Faso,BFA,5.27651214599609,5.27651214599609,1.0
Bangladesh,BGD,1.71183669567108,1.71183669567108,1.0
Bulgaria,BGR,4.277478580474853,4.277478580474853,0.8640010363082405
Bahrain,BHR,1.98779726028442,1.98779726028442,1.0
"Bahamas, The",BHS,2.83657622337341,2.83657622337341,1.0
Bosnia and Herzegovina,BIH,3.845316209793091,3.845316209793091,0.8741712677184759
Belarus,BLR,4.62823009490967,4.62823009490967,1.0
Belize,BLZ,4.59650993347168,4.59650993347168,1.0
Bermuda,BMU,1.92221343517303,1.92221343517303,1.0
Bolivia,BOL,7.57550001144409,7.57550001144409,1.0
Brazil,BRA,5.52182671546936,5.52182671546936,0.7365070345880355
Barbados,BRB,4.41624021530151,4.41624021530151,1.0
Bhutan,BTN,7.46982002258301,7.46982002258301,1.0
Central African Republic,CAF,2.11509132385254,2.11509132385254,1.0
Canada,CAN,4.13957166671753,4.13957166671753,1.0
Central Europe and the Baltics,CEB,4.425627298355103,4.425627298355103,0.8859438971174582
Switzerland,CHE,4.88824462890625,4.88824462890625,1.0
Chile,CHL,5.215646381378174,5.215646381378174,0.6768190603090557
China,CHN,4.02356958389282,4.02356958389282,1.0
Cote d'Ivoire,CIV,3.51197004318237,3.51197004318237,1.0
Cameroon,CMR,2.61768436431885,2.61768436431885,1.0
"Congo, Dem. Rep.",COD,3.002521276474,3.002521276474,1.0
"Congo, Rep.",COG,2.95159220695496,2.95159220695496,1.0
Comoros,COM,2.43164420127869,2.43164420127869,1.0
Cabo Verde,CPV,4.67288541793823,4.67288541793823,1.0
Costa Rica,CRI,6.248743782043457,6.248743782043457,0.6502020201951391
Caribbean small states,CSS,2.87970423698425,2.87970423698425,1.0
Cayman Islands,CYM,1.48894000053406,1.48894000053406,1.0
Cyprus,CYP,5.241498899459839,5.241498899459839,0.8130857548495822
Czechia,CZE,4.456391549110412,4.456391549110412,0.8252788826447796
Germany,DEU,4.54389047622681,4.54389047622681,1.0
Dominica,DMA,6.04314231872559,6.04314231872559,1.0
Denmark,DNK,5.29643440246582,5.29643440246582,1.0
Dominican Republic,DOM,3.94027137756348,3.94027137756348,1.0
Algeria,DZA,4.74924659729004,4.74924659729004,1.0
East Asia & Pacific (excluding high income),EAP,2.88738679885864,2.88738679885864,1.0
Early-demographic dividend,EAR,3.61778378486633,3.61778378486633,1.0
East Asia & Pacific,EAS,3.36847960948944,3.36847960948944,1.0
Europe & Central Asia (excluding high income),ECA,4.10659122467041,4.10659122467041,1.0
Europe & Central Asia,ECS,4.54389047622681,4.54389047622681,1.0
Ecuador,ECU,3.59897994995117,3.59897994995117,1.0
Euro area,EMU,4.721547517776489,4.721547517776489,0.8255726546257226
Spain,ESP,4.31587886810303,4.31587886810303,1.0
Estonia,EST,5.1879182720184325,5.1879182720184325,0.8237302909196248
Ethiopia,ETH,3.73649501800537,3.73649501800537,1.0
European Union,EUU,4.4761458778381344,4.4761458778381344,0.8915260748087525
Fragile and conflict affected situations,FCS,3.239412198066711,3.239412198066711,0.8898478380138042
Finland,FIN,5.690915699005127,5.690915699005127,0.6442207411685715
Fiji,FJI,3.93839550018311,3.93839550018311,1.0
France,FRA,5.08623592376709,5.08623592376709,0.8829660586169391
Gabon,GAB,2.20773649215698,2.20773649215698,1.0
United Kingdom,GBR,4.95917558670044,4.95917558670044,1.0
Georgia,GEO,3.75498008728027,3.75498008728027,1.0
Ghana,GHA,2.90529441833496,2.90529441833496,1.0
Guinea,GIN,1.98561489582062,1.98561489582062,1.0
"Gambia, The",GMB,2.74282312393188,2.74282312393188,1.0
Greece,GRC,3.911621446609497,3.911621446609497,0.8913643409540639
Grenada,GRD,3.93536496162415,3.93536496162415,1.0
Guatemala,GTM,3.22940993309021,3.22940993309021,1.0
High income,HIC,4.502113084793091,4.502113084793091,0.8945032509573408
"Hong Kong SAR, China",HKG,3.72866010665894,3.72866010665894,1.0
Honduras,HND,4.44157886505127,4.44157886505127,1.0
Heavily indebted poor countries (HIPC),HPC,3.44491457939148,3.44491457939148,1.0
Croatia,HRV,3.900507698059082,3.900507698059082,0.8913824547019399
Haiti,HTI,1.27466893196106,1.27466893196106,1.0
Hungary,HUN,4.385018825531006,4.385018825531006,0.8724920720749861
IBRD only,IBD,3.7444200515747053,3.7444200515747053,1.0
IDA & IBRD total,IBT,3.5907875299453753,3.5907875299453753,1.0
IDA total,IDA,3.44491457939148,3.44491457939148,1.0
IDA blend,IDB,3.231781125068665,3.231781125068665,1.0
Indonesia,IDN,0.863943338394165,0.863943338394165,1.0
IDA only,IDX,3.480227112770085,3.480227112770085,1.0
India,IND,4.12072849273682,4.12072849273682,1.0
Ireland,IRL,3.0641563749313354,3.0641563749313354,0.8697982180729336
"Iran, Islamic Rep.",IRN,3.06036734580994,3.06036734580994,1.0
Iceland,ISL,7.13966512680054,7.13966512680054,1.0
Israel,ISR,6.45624446868896,6.45624446868896,1.0
Italy,ITA,3.886445894241333,3.886445894241333,0.8764604543858447
Jamaica,JAM,5.35435009002686,5.35435009002686,1.0
Jordan,JOR,3.16022992134094,3.16022992134094,1.0
Japan,JPN,3.23762130737305,3.23762130737305,1.0
Kazakhstan,KAZ,4.45820236206055,4.45820236206055,1.0
Kenya,KEN,4.51101779937744,4.51101779937744,1.0
Kyrgyz Republic,KGZ,7.1688437461853,7.1688437461853,1.0
Cambodia,KHM,2.88349270820618,2.88349270820618,1.0
St. Kitts and Nevis,KNA,3.63147068023682,3.63147068023682,1.0
"Korea, Rep.",KOR,4.534034199714661,4.534034199714661,0.7524542025228146
