Country Name,Country Code,2022,2022_predicted,2022_confidence
Aruba,ABW,109.552238464355,109.552238464355,1.0
Africa Western and Central,AFW,42.5155982971191,42.5155982971191,1.0
Albania,ALB,97.1244430541992,97.1244430541992,1.0
Arab World,ARB,68.8141326904297,68.8141326904297,1.0
Argentina,ARG,98.9196472167969,98.9196472167969,1.0
Armenia,ARM,103.58984375,103.58984375,1.0
Austria,AUT,96.2193069458008,96.2193069458008,1.0
Azerbaijan,AZE,85.1751022338867,85.1751022338867,1.0
Belgium,BEL,93.3757705688477,93.3757705688477,1.0
Benin,BEN,29.0702991485596,29.0702991485596,1.0
Burkina Faso,BFA,30.7037601470947,30.7037601470947,1.0
Bangladesh,BGD,82.942756652832,82.942756652832,1.0
Bulgaria,BGR,96.0275268554688,96.0275268554688,1.0
Bahrain,BHR,99.2143096923828,99.2143096923828,1.0
Bosnia and Herzegovina,BIH,87.0175170898438,87.0175170898438,1.0
Belarus,BLR,93.2571334838867,93.2571334838867,1.0
Belize,BLZ,61.6867790222168,61.6867790222168,1.0
Bolivia,BOL,82.4839782714844,82.4839782714844,1.0
Barbados,BRB,87.3057022094727,87.3057022094727,1.0
Bhutan,BTN,61.6375198364258,61.6375198364258,1.0
Botswana,BWA,88.1028823852539,88.1028823852539,1.0
Central Europe and the Baltics,CEB,104.944831848145,104.944831848145,1.0
Switzerland,CHE,94.9443130493164,94.9443130493164,1.0
Chile,CHL,101.253898620605,101.253898620605,1.0
Cote d'Ivoire,CIV,57.8648300170898,57.8648300170898,1.0
Cameroon,CMR,35.3751602172852,35.3751602172852,1.0
Colombia,COL,83.0199279785156,83.0199279785156,1.0
Costa Rica,CRI,66.807502746582,66.807502746582,1.0
Caribbean small states,CSS,78.0564727783203,78.0564727783203,1.0
Cuba,CUB,87.7391204833984,87.7391204833984,1.0
Cayman Islands,CYM,103.610679626465,103.610679626465,1.0
Cyprus,CYP,104.49299621582,104.49299621582,1.0
Czechia,CZE,93.2346572875977,93.2346572875977,1.0
Germany,DEU,61.6139106750488,61.6139106750488,1.0
Denmark,DNK,100.159400939941,100.159400939941,1.0
Dominican Republic,DOM,78.0823516845703,78.0823516845703,1.0
Algeria,DZA,76.0696792602539,76.0696792602539,1.0
East Asia & Pacific (excluding high income),EAP,89.9889602661133,89.9889602661133,1.0
Early-demographic dividend,EAR,78.0121612548828,78.0121612548828,1.0
East Asia & Pacific,EAS,90.4914398193359,90.4914398193359,1.0
Europe & Central Asia (excluding high income),ECA,91.4052505493164,91.4052505493164,1.0
Europe & Central Asia,ECS,91.9416885375977,91.9416885375977,1.0
Ecuador,ECU,93.6172180175781,93.6172180175781,1.0
Euro area,EMU,84.2008972167969,84.2008972167969,1.0
Eritrea,ERI,49.2840995788574,49.2840995788574,1.0
Spain,ESP,90.9282684326172,90.9282684326172,1.0
Estonia,EST,99.9616775512695,99.9616775512695,1.0
European Union,EUU,89.2870788574219,89.2870788574219,1.0
Finland,FIN,99.8744812011719,99.8744812011719,1.0
Fiji,FJI,98.2975692749023,98.2975692749023,1.0
France,FRA,100.125663757324,100.125663757324,1.0
"Micronesia, Fed. Sts.",FSM,76.311408996582,76.311408996582,1.0
United Kingdom,GBR,99.3757629394531,99.3757629394531,1.0
