Country Name,Country Code,2022,2022_predicted,2022_confidence
Aruba,ABW,15.09369,15.09369,0.5
Afghanistan,AFG,33.50124,33.50124,0.5
Angola,AGO,26.76619,26.76619,0.5
Albania,ALB,11.19927,11.19927,0.5
Andorra,AND,8.01599,8.01599,0.5
Arab World,ARB,14.49976,14.49976,0.5
United Arab Emirates,ARE,9.54885,9.54885,0.5
Argentina,ARG,12.23531,12.23531,0.5
Armenia,ARM,8.01689,8.01689,0.5
American Samoa,ASM,13.69549,13.69549,0.5
Antigua and Barbuda,ATG,9.29704,9.29704,0.5
Austria,AUT,9.32983,9.32983,0.5
Azerbaijan,AZE,7.60984,7.60984,0.5
Burundi,BDI,26.59842,26.59842,0.5
Belgium,BEL,8.98821,8.98821,0.5
Benin,BEN,10.99168,10.99168,0.5
Burkina Faso,BFA,23.11995,23.11995,0.5
Bangladesh,BGD,35.09524,35.09524,0.5
Bulgaria,BGR,12.63651,12.63651,0.5
Bahrain,BHR,10.23948,10.23948,0.5
"Bahamas, The",BHS,12.48097,12.48097,0.5
Bosnia and Herzegovina,BIH,9.1229,9.1229,0.5
Belarus,BLR,8.56276,8.56276,0.5
Belize,BLZ,16.72317,16.72317,0.5
Bermuda,BMU,6.33229,6.33229,0.5
Bolivia,BOL,18.49627,18.49627,0.5
Brazil,BRA,16.72391,16.72391,0.5
Barbados,BRB,17.93859,17.93859,0.5
Brunei Darussalam,BRN,8.26843,8.26843,0.5
Bhutan,BTN,10.81456,10.81456,0.5
Botswana,BWA,13.82065,13.82065,0.5
Central African Republic,CAF,31.63737,31.63737,0.5
Canada,CAN,18.79864,18.79864,0.5
Central Europe and the Baltics,CEB,10.02635,10.02635,0.5
Switzerland,CHE,9.82943,9.82943,0.5
Chile,CHL,18.36688,18.36688,0.5
China,CHN,13.25879,13.25879,0.5
Cote d'Ivoire,CIV,27.28114,27.28114,0.5
Cameroon,CMR,19.25706,19.25706,0.5
"Congo, Dem. Rep.",COD,14.24161,14.24161,0.5
"Congo, Rep.",COG,18.67603,18.67603,0.5
Colombia,COL,25.91073,25.91073,0.5
Comoros,COM,8.30834,8.30834,0.5
Cabo Verde,CPV,15.42052,15.42052,0.5
Costa Rica,CRI,12.42779,12.42779,0.5
Caribbean small states,CSS,15.1103,15.1103,0.5
Cuba,CUB,9.63133,9.63133,0.5
Cayman Islands,CYM,10.9653,10.9653,0.5
Cyprus,CYP,8.31131,8.31131,0.5
Czechia,CZE,11.54847,11.54847,0.5
Germany,DEU,11.97424,11.97424,0.5
Djibouti,DJI,26.83286,26.83286,0.5
Dominica,DMA,10.69423,10.69423,0.5
Denmark,DNK,11.29034,11.29034,0.5
Dominican Republic,DOM,18.64652,18.64652,0.5
Algeria,DZA,17.23117,17.23117,0.5
East Asia & Pacific (excluding high income),EAP,14.98305,14.98305,0.5
Early-demographic dividend,EAR,21.40841,21.40841,0.5
East Asia & Pacific,EAS,14.75977,14.75977,0.5
Europe & Central Asia (excluding high income),ECA,10.48524,10.48524,0.5
Europe & Central Asia,ECS,11.08115,11.08115,0.5
Ecuador,ECU,20.62112,20.62112,0.5
"Egypt, Arab Rep.",EGY,15.16281,15.16281,0.5
Euro area,EMU,11.42415,11.42415,0.5
Eritrea,ERI,35.02165,35.02165,0.5
Spain,ESP,11.56883,11.56883,0.5
Estonia,EST,9.18187,9.18187,0.5
Ethiopia,ETH,40.35064,40.35064,0.5
European Union,EUU,11.79284,11.79284,0.5
Fragile and conflict affected situations,FCS,19.02135,19.02135,0.5
Finland,FIN,13.57979,13.57979,0.5
Fiji,FJI,19.2926,19.2926,0.5
France,FRA,12.9392,12.9392,0.5
Gabon,GAB,28.11663,28.11663,0.5
United Kingdom,GBR,16.61873,16.61873,0.5
Georgia,GEO,7.57537,7.57537,0.5
Ghana,GHA,15.17269,15.17269,0.5
Gibraltar,GIB,15.04762,15.04762,0.5
Guinea,GIN,33.13554,33.13554,0.5
