Country Name,Country Code,2022,2022_predicted,2022_confidence
Aruba,ABW,14.78869,14.78869,0.5
Afghanistan,AFG,48.78979,48.78979,0.5
Angola,AGO,50.02951,50.02951,0.5
Albania,ALB,17.57287,17.57287,0.5
Andorra,AND,10.49757,10.49757,0.5
Arab World,ARB,20.78495,20.78495,0.5
United Arab Emirates,ARE,24.52278,24.52278,0.5
Argentina,ARG,17.22969,17.22969,0.5
Armenia,ARM,15.41859,15.41859,0.5
American Samoa,ASM,15.0458,15.0458,0.5
Antigua and Barbuda,ATG,12.40564,12.40564,0.5
Australia,AUS,17.87578,17.87578,0.5
Austria,AUT,10.01653,10.01653,0.5
Azerbaijan,AZE,15.42982,15.42982,0.5
Burundi,BDI,42.52383,42.52383,0.5
Belgium,BEL,11.27695,11.27695,0.5
Benin,BEN,39.19712,39.19712,0.5
Burkina Faso,BFA,39.72173,39.72173,0.5
Bangladesh,BGD,30.05459,30.05459,0.5
Bulgaria,BGR,15.20744,15.20744,0.5
Bahrain,BHR,11.92315,11.92315,0.5
"Bahamas, The",BHS,19.44891,19.44891,0.5
Bosnia and Herzegovina,BIH,16.92651,16.92651,0.5
Belarus,BLR,19.23259,19.23259,0.5
Belize,BLZ,19.78332,19.78332,0.5
Bermuda,BMU,10.4196,10.4196,0.5
Bolivia,BOL,17.79827,17.79827,0.5
Brazil,BRA,20.22308,20.22308,0.5
Barbados,BRB,13.9917,13.9917,0.5
Brunei Darussalam,BRN,9.89521,9.89521,0.5
Bhutan,BTN,34.66868,34.66868,0.5
Botswana,BWA,23.71279,23.71279,0.5
Central African Republic,CAF,83.41195,83.41195,0.5
Canada,CAN,17.41596,17.41596,0.5
Central Europe and the Baltics,CEB,12.66168,12.66168,0.5
Switzerland,CHE,9.92873,9.92873,0.5
Chile,CHL,17.79358,17.79358,0.5
China,CHN,16.42675,16.42675,0.5
Cote d'Ivoire,CIV,41.8223,41.8223,0.5
Cameroon,CMR,44.83412,44.83412,0.5
"Congo, Dem. Rep.",COD,33.19793,33.19793,0.5
"Congo, Rep.",COG,44.442,44.442,0.5
Colombia,COL,23.3015,23.3015,0.5
Comoros,COM,28.05781,28.05781,0.5
Cabo Verde,CPV,21.07361,21.07361,0.5
Costa Rica,CRI,12.2047,12.2047,0.5
Caribbean small states,CSS,18.92805,18.92805,0.5
Cuba,CUB,9.16029,9.16029,0.5
Cayman Islands,CYM,15.74725,15.74725,0.5
Cyprus,CYP,12.03922,12.03922,0.5
Czechia,CZE,18.93175,18.93175,0.5
Germany,DEU,12.30285,12.30285,0.5
Djibouti,DJI,29.37453,29.37453,0.5
Dominica,DMA,13.07679,13.07679,0.5
Denmark,DNK,10.73738,10.73738,0.5
Dominican Republic,DOM,18.92322,18.92322,0.5
Algeria,DZA,24.32018,24.32018,0.5
East Asia & Pacific (excluding high income),EAP,17.66661,17.66661,0.5
Early-demographic dividend,EAR,27.85282,27.85282,0.5
East Asia & Pacific,EAS,17.53589,17.53589,0.5
Europe & Central Asia (excluding high income),ECA,18.39211,18.39211,0.5
Europe & Central Asia,ECS,14.86965,14.86965,0.5
Ecuador,ECU,24.26216,24.26216,0.5
"Egypt, Arab Rep.",EGY,23.67945,23.67945,0.5
Euro area,EMU,13.203,13.203,0.5
Eritrea,ERI,38.74092,38.74092,0.5
Spain,ESP,13.13172,13.13172,0.5
Estonia,EST,11.31153,11.31153,0.5
Ethiopia,ETH,55.06929,55.06929,0.5
European Union,EUU,13.29708,13.29708,0.5
Fragile and conflict affected situations,FCS,30.49175,30.49175,0.5
Finland,FIN,13.66688,13.66688,0.5
Fiji,FJI,27.99728,27.99728,0.5
France,FRA,18.1766,18.1766,0.5
"Micronesia, Fed. Sts.",FSM,19.7106,19.7106,0.5
Gabon,GAB,24.53098,24.53098,0.5
United Kingdom,GBR,15.13275,15.13275,0.5
Georgia,GEO,8.98194,8.98194,0.5
Ghana,GHA,26.99486,26.99486,0.5
Gibraltar,GIB,14.17,14.17,0.5
Guinea,GIN,47.14862,47.14862,0.5
"Gambia, The",GMB,36.13813,36.13813,0.5
Guinea-Bissau,GNB,51.92515,51.92515,0.5
Equatorial Guinea,GNQ,23.22706,23.22706,0.5
Greece,GRC,9.38027,9.38027,0.5
Grenada,GRD,16.35068,16.35068,0.5
Guatemala,GTM,20.26228,20.26228,0.5
Guam,GUM,20.02065,20.02065,0.5
Guyana,GUY,23.1645,23.1645,0.5
High income,HIC,14.03652,14.03652,0.5
"Hong Kong SAR, China",HKG,13.34788,13.34788,0.5
Honduras,HND,25.59773,25.59773,0.5
Heavily indebted poor countries (HIPC),HPC,39.66142,39.66142,0.5
Croatia,HRV,13.50611,13.50611,0.5
Haiti,HTI,33.40803,33.40803,0.5
