Country Name,Country Code,2022,2022_predicted,2022_confidence
Aruba,ABW,99.23471,99.23471,0.5
Afghanistan,AFG,26.766,26.766,0.5
Angola,AGO,78.02393000000001,78.02393000000001,0.5
Albania,ALB,94.52966,94.52966,0.5
Arab World,ARB,84.05164,84.05164,0.5
United Arab Emirates,ARE,95.02753,95.02753,0.5
Argentina,ARG,99.184,99.184,0.5
Armenia,ARM,90.72273,90.72273,0.5
Antigua and Barbuda,ATG,95.69547,95.69547,0.5
Australia,AUS,96.38096,96.38096,0.5
Austria,AUT,88.61718,88.61718,0.5
Azerbaijan,AZE,92.42467,92.42467,0.5
Burundi,BDI,92.8047,92.8047,0.5
Belgium,BEL,98.76482,98.76482,0.5
Benin,BEN,97.21103,97.21103,0.5
Burkina Faso,BFA,78.64517,78.64517,0.5
Bangladesh,BGD,90.53203,90.53203,0.5
Bulgaria,BGR,86.4454,86.4454,0.5
Bahrain,BHR,96.71489,96.71489,0.5
"Bahamas, The",BHS,74.22717,74.22717,0.5
Belarus,BLR,94.92861,94.92861,0.5
Belize,BLZ,95.94237,95.94237,0.5
Bermuda,BMU,92.71386,92.71386,0.5
Bolivia,BOL,92.85137,92.85137,0.5
Brazil,BRA,96.29925,96.29925,0.5
Barbados,BRB,96.69287,96.69287,0.5
Brunei Darussalam,BRN,93.14673,93.14673,0.5
Bhutan,BTN,88.02597,88.02597,0.5
Botswana,BWA,87.65678,87.65678,0.5
Central African Republic,CAF,66.29549,66.29549,0.5
Canada,CAN,99.8825,99.8825,0.5
Central Europe and the Baltics,CEB,91.3002,91.3002,0.5
Switzerland,CHE,93.19583,93.19583,0.5
Chile,CHL,94.74067,94.74067,0.5
China,CHN,89.34889,89.34889,0.5
Cote d'Ivoire,CIV,90.32837,90.32837,0.5
Cameroon,CMR,92.87395,92.87395,0.5
"Congo, Dem. Rep.",COD,36.80411,36.80411,0.5
"Congo, Rep.",COG,87.88284,87.88284,0.5
Colombia,COL,92.91999,92.91999,0.5
Comoros,COM,80.75383,80.75383,0.5
Cabo Verde,CPV,93.42191,93.42191,0.5
Costa Rica,CRI,97.33255,97.33255,0.5
Caribbean small states,CSS,87.89515,87.89515,0.5
Cuba,CUB,97.73994,97.73994,0.5
Cyprus,CYP,97.49342,97.49342,0.5
Czechia,CZE,89.3503,89.3503,0.5
Germany,DEU,90.14286,90.14286,0.5
Djibouti,DJI,66.48037,66.48037,0.5
Dominica,DMA,95.42178,95.42178,0.5
