Country Name,Country Code,2022,2022_predicted,2022_confidence
Aruba,ABW,76.94634,76.94634,0.5
Afghanistan,AFG,50.1407,50.1407,0.5
Angola,AGO,11.29064,11.29064,0.5
Albania,ALB,86.60827,86.60827,0.5
Arab World,ARB,63.51428,63.51428,0.5
United Arab Emirates,ARE,92.79992,92.79992,0.5
Argentina,ARG,90.79605,90.79605,0.5
Armenia,ARM,87.74122,87.74122,0.5
Antigua and Barbuda,ATG,88.78981,88.78981,0.5
Australia,AUS,92.28431,92.28431,0.5
Austria,AUT,87.00131,87.00131,0.5
Azerbaijan,AZE,88.53256,88.53256,0.5
Burundi,BDI,27.52277,27.52277,0.5
Belgium,BEL,94.94691,94.94691,0.5
Benin,BEN,46.58049,46.58049,0.5
Burkina Faso,BFA,31.00148,31.00148,0.5
Bangladesh,BGD,66.54968,66.54968,0.5
Bulgaria,BGR,89.05757,89.05757,0.5
Bahrain,BHR,90.19346,90.19346,0.5
"Bahamas, The",BHS,62.4958,62.4958,0.5
Belarus,BLR,95.63948,95.63948,0.5
Belize,BLZ,71.149,71.149,0.5
Bermuda,BMU,72.76762,72.76762,0.5
Bolivia,BOL,76.55438,76.55438,0.5
Brazil,BRA,81.72855,81.72855,0.5
Barbados,BRB,93.63078,93.63078,0.5
Brunei Darussalam,BRN,82.64549,82.64549,0.5
Bhutan,BTN,70.19893,70.19893,0.5
Botswana,BWA,59.78544,59.78544,0.5
Central African Republic,CAF,12.71989,12.71989,0.5
Canada,CAN,99.80968,99.80968,0.5
Central Europe and the Baltics,CEB,89.73885,89.73885,0.5
Switzerland,CHE,85.32946,85.32946,0.5
Chile,CHL,88.65187,88.65187,0.5
Cote d'Ivoire,CIV,40.19814,40.19814,0.5
Cameroon,CMR,45.99349,45.99349,0.5
"Congo, Dem. Rep.",COD,18.30653,18.30653,0.5
"Congo, Rep.",COG,36.2393,36.2393,0.5
Colombia,COL,77.47078,77.47078,0.5
Comoros,COM,50.35748,50.35748,0.5
Cabo Verde,CPV,70.42826,70.42826,0.5
Costa Rica,CRI,82.44799,82.44799,0.5
Caribbean small states,CSS,74.27317,74.27317,0.5
Cuba,CUB,84.18162,84.18162,0.5
Cyprus,CYP,95.337,95.337,0.5
Czechia,CZE,90.51857,90.51857,0.5
Germany,DEU,85.29882,85.29882,0.5
Djibouti,DJI,37.8168,37.8168,0.5
Dominica,DMA,87.73568,87.73568,0.5
Denmark,DNK,90.92146,90.92146,0.5
Dominican Republic,DOM,70.60614,70.60614,0.5
Algeria,DZA,52.9321,52.9321,0.5
East Asia & Pacific (excluding high income),EAP,78.46543,78.46543,0.5
Early-demographic dividend,EAR,64.08017,64.08017,0.5
East Asia & Pacific,EAS,78.90534,78.90534,0.5
Europe & Central Asia (excluding high income),ECA,88.08639,88.08639,0.5
Europe & Central Asia,ECS,89.92563,89.92563,0.5
Ecuador,ECU,84.67039,84.67039,0.5
"Egypt, Arab Rep.",EGY,82.77635,82.77635,0.5
Euro area,EMU,90.60507,90.60507,0.5
Eritrea,ERI,41.57501,41.57501,0.5
Spain,ESP,96.87779,96.87779,0.5
Estonia,EST,94.36474,94.36474,0.5
Ethiopia,ETH,30.8138,30.8138,0.5
European Union,EUU,91.46641,91.46641,0.5
Fragile and conflict affected situations,FCS,37.62826,37.62826,0.5
Finland,FIN,96.1047,96.1047,0.5
Fiji,FJI,84.52339,84.52339,0.5
France,FRA,94.66595,94.66595,0.5
United Kingdom,GBR,97.13247,97.13247,0.5
Georgia,GEO,95.94754,95.94754,0.5
Ghana,GHA,57.24406,57.24406,0.5
Gibraltar,GIB,93.83962,93.83962,0.5
Guinea,GIN,32.20633,32.20633,0.5
"Gambia, The",GMB,14.63149,14.63149,0.5
Guinea-Bissau,GNB,8.55698,8.55698,0.5
Equatorial Guinea,GNQ,20.36275,20.36275,0.5
Greece,GRC,93.34588,93.34588,0.5
Grenada,GRD,87.72998,87.72998,0.5
Guatemala,GTM,43.77665,43.77665,0.5
Guyana,GUY,82.33976,82.33976,0.5
High income,HIC,90.81931,90.81931,0.5
"Hong Kong SAR, China",HKG,96.14117,96.14117,0.5
Honduras,HND,43.77822,43.77822,0.5
Heavily indebted poor countries (HIPC),HPC,32.8487,32.8487,0.5
Croatia,HRV,92.39267,92.39267,0.5
Hungary,HUN,89.27911,89.27911,0.5
IBRD only,IBD,73.57131,73.57131,0.5
IDA & IBRD total,IBT,63.32784,63.32784,0.5
IDA total,IDA,41.64309,41.64309,0.5
IDA blend,IDB,44.93787,44.93787,0.5
Indonesia,IDN,78.73112,78.73112,0.5
IDA only,IDX,39.94525,39.94525,0.5
India,IND,61.63147,61.63147,0.5
Ireland,IRL,98.6613,98.6613,0.5
"Iran, Islamic Rep.",IRN,81.37533,81.37533,0.5
Iraq,IRQ,45.16146,45.16146,0.5
Iceland,ISL,91.2734,91.2734,0.5
Israel,ISR,98.63822,98.63822,0.5
Italy,ITA,94.66346,94.66346,0.5
Jamaica,JAM,73.96802,73.96802,0.5
Jordan,JOR,62.59678,62.59678,0.5
Kazakhstan,KAZ,99.83989,99.83989,0.5
Kenya,KEN,47.42096,47.42096,0.5
Kyrgyz Republic,KGZ,84.38733,84.38733,0.5
Cambodia,KHM,38.33132,38.33132,0.5
Kiribati,KIR,69.13151,69.13151,0.5
St. Kitts and Nevis,KNA,98.00256,98.00256,0.5
"Korea, Rep.",KOR,98.00711,98.00711,0.5
Kuwait,KWT,86.52941,86.52941,0.5
Latin America & Caribbean (excluding high income),LAC,77.29944,77.29944,0.5
Lao PDR,LAO,60.0122,60.0122,0.5
Liberia,LBR,15.69147,15.69147,0.5
Libya,LBY,58.4499,58.4499,0.5
St. Lucia,LCA,81.31252,81.31252,0.5
Latin America & Caribbean,LCN,77.50429,77.50429,0.5
Least developed countries: UN classification,LDC,38.05158,38.05158,0.5
Low income,LIC,33.57867,33.57867,0.5
Liechtenstein,LIE,85.94145,85.94145,0.5
Sri Lanka,LKA,91.03783,91.03783,0.5
Lower middle income,LMC,59.91367,59.91367,0.5
Low & middle income,LMY,63.29202,63.29202,0.5
Lesotho,LSO,41.35206,41.35206,0.5
Late-demographic dividend,LTE,82.59895,82.59895,0.5
Lithuania,LTU,98.42562,98.42562,0.5
Luxembourg,LUX,83.58238,83.58238,0.5
Latvia,LVA,93.79965,93.79965,0.5
"Macao SAR, China",MAC,86.42111,86.42111,0.5
Morocco,MAR,64.4924,64.4924,0.5
Moldova,MDA,77.95594,77.95594,0.5
Madagascar,MDG,29.84739,29.84739,0.5
Maldives,MDV,47.03503,47.03503,0.5
"Middle East, North Africa, Afghanistan & Pakistan",MEA,72.89887,72.89887,0.5
Mexico,MEX,81.15596,81.15596,0.5
Marshall Islands,MHL,55.85237,55.85237,0.5
Middle income,MIC,68.12466,68.12466,0.5
North Macedonia,MKD,78.93037,78.93037,0.5
Mali,MLI,29.92706,29.92706,0.5
Malta,MLT,92.96077,92.96077,0.5
Myanmar,MMR,64.05857,64.05857,0.5
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,70.61009,70.61009,0.5
Montenegro,MNE,89.07485,89.07485,0.5
Mongolia,MNG,81.88655,81.88655,0.5
Mozambique,MOZ,19.27829,19.27829,0.5
Mauritania,MRT,30.97658,30.97658,0.5
Mauritius,MUS,84.30832,84.30832,0.5
Malawi,MWI,34.23885,34.23885,0.5
Malaysia,MYS,72.21113,72.21113,0.5
North America,NAC,93.06775,93.06775,0.5
Namibia,NAM,52.04122,52.04122,0.5
Niger,NER,20.06691,20.06691,0.5
Nicaragua,NIC,48.4211,48.4211,0.5
Netherlands,NLD,93.16439,93.16439,0.5
Norway,NOR,95.60786,95.60786,0.5
Nepal,NPL,61.87253,61.87253,0.5
Nauru,NRU,71.80984,71.80984,0.5
New Zealand,NZL,96.86035,96.86035,0.5
OECD members,OED,89.36801,89.36801,0.5
Oman,OMN,96.19256,96.19256,0.5
Other small states,OSS,54.02025,54.02025,0.5
Pakistan,PAK,37.40039,37.40039,0.5
Panama,PAN,63.79138,63.79138,0.5
Peru,PER,89.30975,89.30975,0.5
Philippines,PHL,65.55881,65.55881,0.5
Papua New Guinea,PNG,32.38128,32.38128,0.5
Poland,POL,94.08406,94.08406,0.5
Pre-demographic dividend,PRE,35.01341,35.01341,0.5
Puerto Rico (US),PRI,75.91911,75.91911,0.5
Portugal,PRT,94.66479,94.66479,0.5
Paraguay,PRY,65.88458,65.88458,0.5
West Bank and Gaza,PSE,87.22641,87.22641,0.5
Pacific island small states,PSS,66.19857,66.19857,0.5
Post-demographic dividend,PST,90.7899,90.7899,0.5
Qatar,QAT,93.8946,93.8946,0.5
Romania,ROU,82.84805,82.84805,0.5
Russian Federation,RUS,90.67886,90.67886,0.5
Rwanda,RWA,35.87144,35.87144,0.5
South Asia,SAS,60.5279,60.5279,0.5
Saudi Arabia,SAU,96.36052,96.36052,0.5
Sudan,SDN,31.4995,31.4995,0.5
Senegal,SEN,37.66861,37.66861,0.5
Singapore,SGP,99.78462,99.78462,0.5
Solomon Islands,SLB,30.99458,30.99458,0.5
Sierra Leone,SLE,41.76675,41.76675,0.5
El Salvador,SLV,61.83092,61.83092,0.5
San Marino,SMR,66.54351,66.54351,0.5
Somalia,SOM,0.21503,0.21503,0.5
Serbia,SRB,92.06535,92.06535,0.5
Sub-Saharan Africa (excluding high income),SSA,35.58147,35.58147,0.5
South Sudan,SSD,5.48403,5.48403,0.5
Sub-Saharan Africa,SSF,35.58426,35.58426,0.5
Small states,SST,58.13102,58.13102,0.5
Sao Tome and Principe,STP,65.23344,65.23344,0.5
Suriname,SUR,57.78983,57.78983,0.5
Slovak Republic,SVK,84.75751,84.75751,0.5
Slovenia,SVN,95.68577,95.68577,0.5
Sweden,SWE,99.06336,99.06336,0.5
Eswatini,SWZ,41.69996,41.69996,0.5
Sint Maarten (Dutch part),SXM,69.75968,69.75968,0.5
Seychelles,SYC,80.06115,80.06115,0.5
Syrian Arab Republic,SYR,48.50187,48.50187,0.5
Chad,TCD,18.8551,18.8551,0.5
East Asia & Pacific (IDA & IBRD countries),TEA,78.31161,78.31161,0.5
Europe & Central Asia (IDA & IBRD countries),TEC,88.43456,88.43456,0.5
Togo,TGO,41.01339,41.01339,0.5
Thailand,THA,77.27069,77.27069,0.5
Tajikistan,TJK,83.21746,83.21746,0.5
Latin America & the Caribbean (IDA & IBRD countries),TLA,77.43196,77.43196,0.5
Timor-Leste,TLS,62.73563,62.73563,0.5
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,70.25002,70.25002,0.5
Tonga,TON,82.07469,82.07469,0.5
South Asia (IDA & IBRD),TSA,60.5279,60.5279,0.5
Sub-Saharan Africa (IDA & IBRD countries),TSS,35.58426,35.58426,0.5
Trinidad and Tobago,TTO,72.64738,72.64738,0.5
Tunisia,TUN,32.36521,32.36521,0.5
Turkiye,TUR,87.22819,87.22819,0.5
Tuvalu,TUV,66.72794,66.72794,0.5
Tanzania,TZA,26.54777,26.54777,0.5
Uganda,UGA,22.37343,22.37343,0.5
Ukraine,UKR,85.67634,85.67634,0.5
Upper middle income,UMC,82.24137,82.24137,0.5
Uruguay,URY,88.21273,88.21273,0.5
United States,USA,92.45022,92.45022,0.5
Uzbekistan,UZB,90.85635,90.85635,0.5
St. Vincent and the Grenadines,VCT,89.47196,89.47196,0.5
"Venezuela, RB",VEN,73.24477,73.24477,0.5
British Virgin Islands,VGB,68.10811,68.10811,0.5
Viet Nam,VNM,35.77421,35.77421,0.5
Vanuatu,VUT,48.94452,48.94452,0.5
World,WLD,66.27183,66.27183,0.5
Samoa,WSM,85.51776,85.51776,0.5
"Yemen, Rep.",YEM,47.59088,47.59088,0.5
South Africa,ZAF,71.92661,71.92661,0.5
Zimbabwe,ZWE,48.73362,48.73362,0.5
