Category;line;OECD_Average
2000;528,79974;499,53403
2000.5;527,59167;499,181
2000.5;;
2000.25;528,19574;499,35751
2000.25;;
2000.75;526,98767;499,00446
2000.75;;
2001;526,38367;498,82794
2001;;
2001.5;525,17566;498,47491
2001.5;;
2001.5;;
2001.25;525,77966;498,65143
2001.25;;
2001.25;;
2001.75;524,57159;498,2984
2001.75;;
2001.75;;
2002;523,96759;498,12189
2002;;
2002;;
2002.5;522,75952;497,76883
2002.5;;
2002.5;;
2002.25;523,36359;497,94537
2002.25;;
2002.25;;
2002.75;522,15552;497,59232
2002.75;;
2002.75;;
2003;521,55151;497,4158
2003;523,48657;502,125
2003;;
2003.5;521,46503;497,09082
2003.5;523,23694;501,94836
2003.5;;
2003.25;521,5083;497,25333
2003.25;523,36176;502,03668
2003.25;;
2003.75;521,42181;496,92834
2003.75;523,11212;501,86005
2003.75;;
2004;521,37854;496,76584
2004;522,9873;501,77176
2004;;
2004.5;521,29211;496,44086
2004.5;522,73767;501,59512
2004.5;;
2004.25;521,33533;496,60336
2004.25;522,86249;501,68344
2004.25;;
2004.75;521,24884;496,27838
2004.75;522,61292;501,50681
2004.75;;
2005;521,20563;496,11591
2005;522,4881;501,41849
2005;;
2005.5;521,11914;495,79092
2005.5;522,23846;501,24188
2005.5;;
2005.25;521,16235;495,9534
2005.25;522,36328;501,3302
2005.25;;
2005.75;521,07587;495,62842
2005.75;522,11365;501,15356
2005.75;;
2006;521,03265;495,46594
2006;521,98883;501,06525
2006;530,38434;502,74365
2006.5;521,0072;496,12122
2006.5;521,54083;501,16586
2006.5;530,65479;503,24326
2006.25;521,01996;495,79358
2006.25;521,76483;501,11554
2006.25;530,51953;502,99344
2006.75;520,99451;496,44885
2006.75;521,31683;501,21619
2006.75;530,78998;503,49304
2007;520,98175;496,77646
2007;521,09283;501,26648
2007;530,92517;503,74286
2007.5;520,9563;497,43173
2007.5;520,64484;501,3671
2007.5;531,19562;504,24243
2007.25;520,96906;497,1041
2007.25;520,86884;501,31677
2007.25;531,06042;503,99265
2007.75;520,9436;497,75937
2007.75;520,42084;501,41742
2007.75;531,33081;504,49225
2008;520,93091;498,08701
2008;520,19684;501,46771
2008;531,46606;504,74203
2008.5;520,90546;498,74225
2008.5;519,74884;501,56833
2008.5;531,73645;505,24164
2008.25;520,91815;498,41461
2008.25;519,97284;501,51801
2008.25;531,60126;504,99185
2008.75;520,8927;499,06989
2008.75;519,52484;501,61865
2008.75;531,8717;505,49146
2009;520,88;499,39752
2009;519,30084;501,66895
2009;532,0069;505,74124
2009.5;519,43115;499,7254
2009.5;516,04236;501,17001
2009.5;529,27844;505,57288
2009.25;520,15558;499,56146
2009.25;517,67157;501,41946
2009.25;530,6427;505,65704
2009.75;518,70667;499,88931
2009.75;514,41309;500,92053
2009.75;527,91425;505,48868
2010;517,98224;500,05325
2010;512,78387;500,67108
2010;526,55005;505,40448
2010.5;516,53339;500,3811
2010.5;509,52539;500,17212
2010.5;523,82159;505,23611
2010.25;517,25781;500,21719
2010.25;511,15463;500,4216
2010.25;525,18579;505,32031
2010.75;515,80896;500,54504
2010.75;507,89612;499,92267
2010.75;522,4574;505,15192
2011;515,08453;500,70898
2011;506,26688;499,67319
2011;521,09314;505,06775
2011.5;513,63562;501,03687
2011.5;503,00839;499,17426
2011.5;518,36475;504,89935
2011.25;514,36011;500,87292
2011.25;504,63763;499,42374
2011.25;519,72894;504,98355
2011.75;512,91119;501,20078
2011.75;501,37915;498,9248
2011.75;517,00049;504,81519
2012;512,18677;501,36472
2012;499,74991;498,67532
2012;515,63629;504,73099
2012.5;511,70074;500,67874
2012.5;498,99548;498,14935
2012.5;515,2475;503,4393
2012.25;511,94376;501,02173
2012.25;499,37268;498,41232
2012.25;515,44189;504,08514
2012.75;511,45776;500,33575
2012.75;498,61826;497,88635
2012.75;515,0531;502,79346
2013;511,21475;499,99277
2013;498,24103;497,62335
2013;514,8587;502,14761
2013.5;510,72876;499,30682
2013.5;497,48657;497,09738
2013.5;514,46991;500,85596
2013.25;510,97174;499,64978
2013.25;497,8638;497,36038
2013.25;514,66431;501,50177
2013.75;510,48575;498,96384
2013.75;497,10938;496,83438
2013.75;514,27551;500,21011
2014;510,24274;498,62085
2014;496,73215;496,57141
2014;514,08112;499,56427
2014.5;509,75671;497,93488
2014.5;495,97772;496,04541
2014.5;513,69232;498,27258
2014.25;509,99973;498,27786
2014.25;496,35492;496,30841
2014.25;513,88672;498,91843
