country,performance_score,contribution_score,score,rank
United States,0.8226499873918351,0.48717948717948717,1.4440176746562612,1
Brazil,0.3647301520942825,0.48717948717948717,0.5350230453427101,2
Japan,0.8901924238201413,0.10256410256410255,0.5323097784537855,3
Indonesia,0.3593849538143016,0.10256410256410255,0.5134273393577549,4
Finland,0.994878762541806,1.0,0.4982075668896321,5
Sweden,0.9782724823485693,0.9743589743589745,0.48854921497584536,6
Denmark,0.994878762541806,0.8461538461538463,0.475130643812709,7
Norway,0.9719623861947232,0.8974358974358974,0.47480221978353776,8
Canada,0.978732638888889,0.6153846153846154,0.4348641159188034,9
Germany,0.8904773517545257,0.43589743589743585,0.41585218229300175,10
France,0.9094874781016086,0.5641025641025641,0.4029360019509476,11
Australia,0.8849363951266126,0.5641025641025641,0.394343122909699,12
India,0.27591475553432077,0.0,0.38628065774804904,13
United Kingdom,0.9172010620719862,0.3846153846153845,0.3787126794175028,14
Poland,0.8148374873918351,0.5384615384615385,0.36596235135637306,15
Mexico,0.45613685831077144,0.358974358974359,0.36160489740863516,16
South Korea,0.8929098151244892,0.30769230769230765,0.35867228144741736,17
Spain,0.8367987123082231,0.30769230769230765,0.33903339546172423,18
Italy,0.846781351197112,0.2820512820512821,0.3386811652266815,19
South Africa,0.0,0.7692307692307692,0.11538461538461536,20
